Year,Location,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,Sum
2012,West Virginia,157100,190000,486400,272000,1105500
2012,Wisconsin,490900,642800,1538600,746200,3418500
2012,Wyoming,51700,72000,145000,78100,346800
2012,Puerto Rico,367400,402400,949500,437000,2156300
2013,Alabama,441800,533800,1246600,616200,2838400
2013,Alaska,75300,96000,186900,88900,447100
2013,Arizona,615800,771600,1631200,774200,3792800
2013,Arkansas,255500,337700,742800,363500,1699500
2013,California,3840800,4845800,10248700,4364000,23299300
2013,Colorado,484600,665600,1412000,649600,3211800
2013,Connecticut,286200,384800,994300,476200,2141500
2013,Delaware,78400,104800,243500,119100,545800
2013,District of Columbia,68800,126600,162500,67800,425700
2013,Florida,1704900,2089500,5056300,2491100,11341800
2013,Georgia,913100,1156600,2720800,1147000,5937500
2013,Hawaii,119600,160800,344100,176500,801000
2013,Idaho,147100,182600,394600,194600,918900
2013,Illinois,1185300,1565700,3450400,1573600,7775000
2013,Indiana,585600,734100,1709500,823500,3852700
2013,Iowa,272500,344600,770700,399800,1787600
2013,Kansas,262500,336000,710600,356300,1665400
2013,Kentucky,391900,484700,1160700,568600,2605900
2013,Louisiana,449500,562800,1156700,575900,2744900
2013,Maine,103600,129000,361100,204000,797700
2013,Maryland,510000,711200,1639800,746000,3607000
2013,Massachusetts,584200,786400,1827400,859900,4057900
2013,Michigan,929000,1028900,2604100,1343800,5905800
2013,Minnesota,462000,661400,1432400,690800,3246600
2013,Mississippi,278200,325300,750600,367600,1721700
2013,Missouri,546000,694700,1542600,769100,3552400
2013,Montana,90800,109700,246900,148200,595600
2013,Nebraska,169100,221900,460100,229600,1080700
2013,Nevada,250400,346900,750700,334900,1682900
2013,New Hampshire,104900,133000,375700,192300,805900
2013,New Jersey,734700,997000,2515200,1114900,5361800
2013,New Mexico,196600,234300,509100,265800,1205800
2013,New York,1843800,2443300,5292700,2441800,12021600
2013,North Carolina,869700,1082800,2633000,1210000,5795500
2013,North Dakota,86200,84500,170800,91200,432700
2013,Ohio,1004700,1271300,3023400,1539600,6839000
2013,Oklahoma,358600,454200,951400,458600,2222800
2013,Oregon,351200,466000,1023800,533700,2374700
2013,Pennsylvania,1095600,1381600,3338100,1726200,7541500
2013,Rhode Island,100100,116500,279300,139500,635400
2013,South Carolina,435700,516300,1225900,615200,2793100
2013,South Dakota,74200,97100,206200,109100,486600
2013,Tennessee,579300,732400,1720800,825000,3857500
2013,Texas,2550900,3294900,6904600,2844400,15594800
2013,Utah,312000,391200,674500,264900,1642600
2013,Vermont,47400,63800,167900,93900,373000
2013,Virginia,717100,973000,2229600,1013300,4933000
2013,Washington,621700,871200,1845600,891500,4230000
2013,West Virginia,155800,189900,480000,270900,1096600
2013,Wisconsin,497400,645700,1518000,761900,3423000
2013,Wyoming,55100,74100,140900,79600,349700
2013,Puerto Rico,362600,391700,935700,433600,2123600
2014,Alabama,443900,534100,1239200,626400,2843600
2014,Alaska,77000,92400,184700,92300,446400
2014,Arizona,629800,763700,1646800,786200,3826500
2014,Arkansas,255600,330800,742500,365900,1694800
2014,California,3847100,4986800,10292400,4478100,23604400
2014,Colorado,489100,695500,1411500,664200,3260300
2014,Connecticut,290500,382300,986300,482100,2141200
2014,Delaware,83900,101600,235800,123800,545100
2014,District of Columbia,64600,133100,168700,67800,434200
2014,Florida,1714600,2146800,5075100,2552600,11489100
